,Artist(s),Popularity
White Noise,Rain Sounds,70
Weightless,Marconi Union,66
Weightless Part 1,Marconi Union,65
Beyond Voyager - Ambient Mix,Nucleus A.D.,64
Cavatina,Tranquil Cove,64
Simplicity,Astron,63
"Gentle Rain, Rain Sound Meditation",Rain Sounds,63
Kebnekajse,Tranquil Cove,62
Beach Waves and Soothing Brown Noise,"Sleep Baby Sleep, Ocean Sounds, Ocean Waves For Sleep, Fresh Water Sounds, Relajación",62
The Flow - Ambient Version,Toledo Rains,61
Anything You Synthesize - Ambient,The American Dollar,61
The Plateaux Of Mirror - 2004 Digital Remaster,"Harold Budd, Brian Eno",60
Reaching for Casterly,Ambient Solle,60
A Clearing - Remastered 2004,Brian Eno,59
Lizard Point - Remastered 2004,Brian Eno,59
#3,Aphex Twin,58
Vacuum Cleaner and Soothing Brown Noise,"Sleep Baby Sleep, Vacuum Cleaner White Noise, White Noise Research, Baby Naptime, Outside Broadcast Recordings",58
Astral Projection,Astron,58
Light in the Fog,Night Sounds,58
Twin Peaks Theme,Tranquil Cove,58
Gentle Forest,Ambient Nature project,57
Xtal,Aphex Twin,56
Ballerina - Ambient Version,William Keats,55
Soothing Brown Noise Waves,"Sleep Baby Sleep, White Noise Babies, White Noise For Baby Sleep, Spa Relaxation, Spa Relaxation & Spa",55
i'll wait - Ambient version,Oats,55
Changes,The Tides,55
Breathe,Night Sounds,54
Ambient Waves for Dreams,Dreams of Dreams,54
Weightless Part 3,Marconi Union,54
1/1 - Remastered 2004,Brian Eno,53
Weightless Part 4,Marconi Union,53
Body - Ambient,RY X,52
Weightless Part 5,Marconi Union,52
You - Ambient Dream,Blue Puppy,50
Ambient Music,Meditation Music Zone,49
Ambient Rain Music Part 4,Ambient Rain,49
Time - Ambient,The American Dollar,49
Ambient Streams,Masala Roo,48
Because We Walk to the Post Office of a Tuesday Afternoon Does Not Mean We Reject Outright the Clear Convenience of Email,Ambient Jones,46
Ambient Music,Rain Sound Plus,44
"Rain Noise, Ambient Sounds - 1",Rain Sounds,44
Baby Music with Ambient Rain,"Baby Lullaby, Einstein Baby Lullaby Academy, Baby Sleep Music",27
Ambient Rain with Baby Sleep Music,"Baby Lullaby, Einstein Baby Lullaby Academy, Baby Sleep Music",25
Ambient Music For Sleeping Baby,"Baby Lullaby, Baby Sleep Music, Monarch Baby Lullaby Institute",20
Ambient Piano Music For Sleeping Babies,"Baby Lullaby, Baby Sleep Music, Monarch Baby Lullaby Institute",20
Ambient Sleeping Music For Babies,"Baby Lullaby, Baby Sleep Music, Monarch Baby Lullaby Institute",20
Ambient Baby Music,"Baby Lullaby, Einstein Baby Lullaby Academy, Baby Sleep Music",16
Ambient Music For Sleeping Babies,"Baby Lullaby, Baby Sleep Music, Einstein Baby Lullaby Academy",0
Ambient Guitar Music For Baby Sleep,"Baby Lullaby, Baby Sleep Music, Einstein Baby Lullaby Academy",0
Ambient Music For Baby Bedtime,"Baby Lullaby, Baby Sleep Music, Einstein Baby Lullaby Academy",0
